id,neo4j_id,label
gcat_trait_1-1-enyl-palmitoyl-2-linoleoyl-GPE_P-160182_measurement,604224,
gcat_trait_1-1-enyl-palmitoyl-2-oleoyl-GPC_P-160181_measurement,604228,
gcat_trait_1-1-enyl-palmitoyl-2-palmitoleoyl-GPC_P-160161_measurement,604274,
gcat_trait_1-1-enyl-palmitoyl-2-palmitoyl-GPC_P-160160_measurement,604275,
gcat_trait_1-1-enyl-palmitoyl-GPC_P-160_measurement,604276,
gcat_trait_1-1-enyl-stearoyl-2-linoleoyl-GPE_P-180182_measurement,604277,
gcat_trait_1-Methylhistidine_measurement,604278,
gcat_trait_1-arachidonoyl-GPC_204n6_measurement,604285,
gcat_trait_1-arachidonoyl-GPE_204n6_measurement,604286,
gcat_trait_1-arachidonoyl-GPI_204_measurement,604287,
gcat_trait_1-docosahexaenoyl-GPE_226_measurement,604289,
gcat_trait_1-linoleoyl-2-arachidonoyl-GPC_182204n6_measurement,604290,
gcat_trait_1-linoleoyl-GPE_182_measurement,604291,
gcat_trait_1-linoleoyl-GPI_182_measurement,604292,
gcat_trait_1-margaroyl-2-linoleoyl-GPC_170182_measurement,604298,
gcat_trait_1-methylurate_measurement,604299,
gcat_trait_1-methylxanthine_measurement,604306,
gcat_trait_1-oleoyl-2-docosahexaenoyl-GPC_181226_measurement,604307,
gcat_trait_1-oleoyl-2-linoleoyl-GPE_181182_measurement,604315,
gcat_trait_1-palmitoleoyl-GPC_161_measurement,604316,
gcat_trait_1-palmitoyl-2-arachidonoyl-GPE_160204_measurement,604323,
gcat_trait_1-palmitoyl-2-arachidonoyl-GPI_160204_measurement,604324,
gcat_trait_1-palmitoyl-2-docosahexaenoyl-GPC_160226_measurement,604325,
gcat_trait_1-palmitoyl-2-docosahexaenoyl-GPE_160226_measurement,604326,
gcat_trait_1-palmitoyl-2-linoleoyl-GPC_160182_measurement,604327,
gcat_trait_1-palmitoyl-2-linoleoyl-GPE_160182_measurement,604328,
gcat_trait_1-palmitoyl-2-linoleoyl-GPI_160182_measurement,604329,
gcat_trait_1-palmitoyl-2-oleoyl-GPE_160181_measurement,604330,
gcat_trait_1-palmitoyl-2-oleoyl-GPI_160181_measurement,604331,
gcat_trait_1-palmitoyl-2-stearoyl-GPC_160180_measurement,604332,
gcat_trait_1-palmitoyl-GPC_160_measurement,604333,
gcat_trait_1-palmitoyl-GPE_160_measurement,604335,
gcat_trait_1-ribosyl-imidazoleacetate_measurement,604336,
gcat_trait_1-stearoyl-2-arachidonoyl-GPC_180204_measurement,604342,
gcat_trait_1-stearoyl-2-arachidonoyl-GPE_180204_measurement,604343,
gcat_trait_1-stearoyl-2-arachidonoyl-GPI_180204_measurement,604344,
gcat_trait_1-stearoyl-2-docosahexaenoyl-GPC_180226_measurement,604412,
gcat_trait_1-stearoyl-2-docosahexaenoyl-GPE_180226_measurement,604413,
gcat_trait_1-stearoyl-2-docosapentaenoyl-GPC_180225n3_measurement,604414,
gcat_trait_1-stearoyl-2-linoleoyl-GPC_180182_measurement,604415,
gcat_trait_1-stearoyl-2-linoleoyl-GPE_180182_measurement,604416,
gcat_trait_1-stearoyl-2-linoleoyl-GPI_180182_measurement,604417,
