id,label,neo4j_id
Factor1_gcat_trait_1-1-enyl-palmitoyl-2-oleoyl-GPC_P-160181_measurement,Cholesterol Regulation and Lipid Transfer,808284
Factor3_gcat_trait_1-stearoyl-2-arachidonoyl-GPI_180204_measurement,Lipoprotein and Cholesterol Homeostasis,808285
Factor6_gcat_trait_1-stearoyl-2-arachidonoyl-GPI_180204_measurement,Chylomicron Assembly and Remodeling,808286
Factor7_gcat_trait_1-stearoyl-2-arachidonoyl-GPI_180204_measurement,Lipid Particles and Remodeling,808287
Factor13_gcat_trait_1-stearoyl-2-arachidonoyl-GPI_180204_measurement,Chylomicron Remodeling and Metabolism,808288
Factor15_gcat_trait_1-stearoyl-2-arachidonoyl-GPI_180204_measurement,Hyperlipidemia and Lipase Complexes,808289
Factor11_gcat_trait_1-stearoyl-2-arachidonoyl-GPI_180204_measurement,Lipoprotein and Chylomicron Assembly,808290
Factor14_gcat_trait_1-stearoyl-2-arachidonoyl-GPI_180204_measurement,Familial Hyperlipidemia Variants,808291
Factor2_gcat_trait_1-stearoyl-2-arachidonoyl-GPI_180204_measurement,Lipoprotein Clearance and Metabolism,808292
Factor5_gcat_trait_1-stearoyl-2-arachidonoyl-GPI_180204_measurement,Hyperlipidemia and Lipoprotein Dynamics,808293
Factor1_gcat_trait_1-stearoyl-2-arachidonoyl-GPI_180204_measurement,Cholesterol Production and Remodeling,808294
Factor9_gcat_trait_1-stearoyl-2-arachidonoyl-GPI_180204_measurement,Triglyceride Regulation and Lipase Activity,808295
Factor4_gcat_trait_1-stearoyl-2-arachidonoyl-GPI_180204_measurement,HDL and Lipoprotein Remodeling,808296
Factor16_gcat_trait_1-stearoyl-2-arachidonoyl-GPI_180204_measurement,Cholesterol Efflux and Transport,808297
Factor10_gcat_trait_1-stearoyl-2-arachidonoyl-GPI_180204_measurement,Lipoprotein Assembly and Regulation,808298
Factor12_gcat_trait_1-stearoyl-2-arachidonoyl-GPI_180204_measurement,Triglyceride Metabolism and Clearance,808299
Factor8_gcat_trait_1-stearoyl-2-arachidonoyl-GPI_180204_measurement,Plasma Lipoprotein Assembly and Clearance,808300
Factor1_gcat_trait_1-stearoyl-GPC_180_measurement,Lipid Metabolism and Regulation,808301
Factor1_gcat_trait_3-hydroxybutyrate_measurement,Lipoprotein Regulation and Cholesterol,808302
Factor7_gcat_trait_3-hydroxybutyrate_measurement,Hyperlipidemia and Lipoprotein Remodeling,808303
Factor8_gcat_trait_3-hydroxybutyrate_measurement,Chylomicron Assembly and Remodeling,808304
Factor11_gcat_trait_3-hydroxybutyrate_measurement,Familial Hyperlipidemia Pathways,808305
Factor13_gcat_trait_3-hydroxybutyrate_measurement,HDL Remodeling and Clearance,808306
Factor15_gcat_trait_3-hydroxybutyrate_measurement,Lipid and Sterol Homeostasis,808307
Factor16_gcat_trait_3-hydroxybutyrate_measurement,Lipoprotein Assembly and Clearance,808308
Factor17_gcat_trait_3-hydroxybutyrate_measurement,Triglyceride Metabolism and Catabolism,808309
Factor5_gcat_trait_3-hydroxybutyrate_measurement,Lipoprotein Pathways and Homeostasis,808310
